Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-03-27,AAPL,0P000000GY,62.410416088857225,63.18082239334338,61.00294158343681,61.17332077026367,204216800,0.8787,0
2020-03-30,AAPL,0P000000GY,61.914097870324895,63.09440139492336,61.58321485474461,62.91908264160156,167976400,0.8787,0
2020-03-31,AAPL,0P000000GY,63.114151647625256,64.8154642176597,62.22521844839191,62.79067611694336,197002000,0.9038,0
2020-04-01,AAPL,0P000000GY,60.86713279465943,61.4153076794661,59.04729315371078,59.48682022094727,176218400,0.9038,0
2020-04-02,AAPL,0P000000GY,59.34606702846341,60.533777945782944,58.496642802048925,60.479454040527344,165934000,0.9038,0
2020-04-03,AAPL,0P000000GY,59.953509175187065,60.66959158249988,59.007784105034695,59.61028289794922,129880000,0.9038,0
2020-04-06,AAPL,0P000000GY,61.95360197854337,64.96856000632802,61.57827795839358,64.81053161621094,201820400,0.9038,0
2020-04-07,AAPL,0P000000GY,66.867424954852,67.08966394184512,63.953706957132816,64.05988311767578,202887200,0.9038,0
2020-04-08,AAPL,0P000000GY,64.87720437350586,66.02047066031894,64.50435198743436,65.69947052001953,168895200,0.9038,0
2020-04-09,AAPL,0P000000GY,66.34886832430583,66.68715496928439,65.3611665705272,66.17354583740234,161834800,0.9038,0
2020-04-13,AAPL,0P000000GY,66.25257671440203,67.58350870440128,65.64019879475934,67.4723892211914,131022800,0.9038,0
2020-04-14,AAPL,0P000000GY,69.13912996884773,71.176265048287,68.65762229948068,70.87995147705078,194994800,0.9038,0
2020-04-15,AAPL,0P000000GY,69.73175093773699,70.7021662223604,69.29469557041591,70.2330093383789,131154400,0.8015,0
2020-04-16,AAPL,0P000000GY,70.96145586874155,71.16393660004128,69.71942082687269,70.79107666015625,157125200,0.8015,0
2020-04-17,AAPL,0P000000GY,70.29721339012124,70.85526736952151,68.36378271994403,69.83052062988281,215250000,0.8015,0
2020-04-20,AAPL,0P000000GY,68.63294181641463,69.55396905600836,68.36132227482578,68.38107299804688,130015200,0.8015,0
2020-04-21,AAPL,0P000000GY,68.2205687683512,68.4600867764399,65.54142590316965,66.26738739013672,180991600,0.8015,0
2020-04-22,AAPL,0P000000GY,67.56128258165403,68.62059508886666,67.21312425721342,68.17613220214844,116862400,0.8015,0
2020-04-23,AAPL,0P000000GY,68.11933515182649,69.5712582692229,67.87240965663847,67.91191864013672,124814400,0.8015,0
2020-04-24,AAPL,0P000000GY,68.44775531809051,69.8823919478765,68.39836720119072,69.87251281738281,126161200,0.8015,0
