Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio
2020-04-08,AMC,0P00011H0G,3.049999952316284,3.319999933242798,2.799999952316284,3.299999952316284,7997600,47.1044,0
2020-04-09,AMC,0P00011H0G,3.299999952316284,3.299999952316284,2.5799999237060547,2.5999999046325684,13981200,47.1044,0
2020-04-13,AMC,0P00011H0G,2.3399999141693115,2.359999895095825,1.950000047683716,2.0799999237060547,19784100,47.1044,0
2020-04-14,AMC,0P00011H0G,2.2100000381469727,2.369999885559082,2.140000104904175,2.180000066757202,11747900,47.1044,0
2020-04-15,AMC,0P00011H0G,2.150000095367432,2.4600000381469727,2.0199999809265137,2.4100000858306885,11378000,60.0071,0
2020-04-16,AMC,0P00011H0G,2.3499999046325684,2.490000009536743,2.150000095367432,2.440000057220459,6290800,60.0071,0
2020-04-17,AMC,0P00011H0G,3.849999904632568,3.849999904632568,3.049999952316284,3.200000047683716,26799900,60.0071,0
2020-04-20,AMC,0P00011H0G,3.220000028610229,3.440000057220459,3.059999942779541,3.180000066757202,10787200,60.0071,0
2020-04-21,AMC,0P00011H0G,3.200000047683716,3.380000114440918,3.150000095367432,3.25,5788400,60.0071,0
2020-04-22,AMC,0P00011H0G,3.390000104904175,3.390000104904175,3.1600000858306885,3.180000066757202,4568600,60.0071,0
2020-04-23,AMC,0P00011H0G,3.200000047683716,3.25,3.0799999237060547,3.109999895095825,4318800,60.0071,0
2020-04-24,AMC,0P00011H0G,3.140000104904175,3.200000047683716,3.0199999809265137,3.049999952316284,3623700,60.0071,0
2020-04-27,AMC,0P00011H0G,3.190000057220459,3.400000095367432,3.059999942779541,3.359999895095825,5667200,60.0071,0
2020-04-28,AMC,0P00011H0G,3.819999933242798,4.75,3.5,4.139999866485596,21601100,60.0071,0
2020-04-29,AMC,0P00011H0G,4.539999961853027,5.53000020980835,4.46999979019165,5.190000057220459,27162400,60.0071,0
2020-04-30,AMC,0P00011H0G,5.010000228881836,5.090000152587891,4.5,4.920000076293945,11235600,54.2802,0
2020-05-01,AMC,0P00011H0G,4.619999885559082,4.699999809265137,4.300000190734863,4.570000171661377,6746800,54.2802,0
2020-05-04,AMC,0P00011H0G,4.110000133514404,4.78000020980835,4.0,4.300000190734863,5601400,54.2802,0
2020-05-05,AMC,0P00011H0G,4.670000076293945,4.690000057220459,3.809999942779541,3.890000104904175,7504500,54.2802,0
2020-05-06,AMC,0P00011H0G,4.079999923706055,4.099999904632568,3.829999923706055,3.920000076293945,3105700,54.2802,0
2020-05-07,AMC,0P00011H0G,4.010000228881836,4.179999828338623,3.950000047683716,3.990000009536743,4105800,54.2802,0
2020-05-08,AMC,0P00011H0G,4.139999866485596,4.21999979019165,4.039999961853027,4.099999904632568,3571200,54.2802,0
