Date,Symbol,Finra Symbol,Open,High,Low,Close,Volume,Short Interest (%),PE Ratio,Squeeze
2020-01-31,SPCE,0P0001BP51,17.02899932861328,17.829999923706055,16.850000381469727,17.149999618530273,6247900.0,8.0236,0,True
2020-02-03,SPCE,0P0001BP51,17.149999618530273,18.940000534057617,17.149999618530273,18.61000061035156,8392800.0,8.0236,0,True
2020-02-04,SPCE,0P0001BP51,19.309999465942383,20.0,18.76499938964844,19.690000534057617,14583300.0,8.0236,0,True
2020-02-05,SPCE,0P0001BP51,20.01000022888184,20.09000015258789,18.040000915527344,18.690000534057617,9303200.0,8.0236,0,True
2020-02-06,SPCE,0P0001BP51,18.459999084472656,18.96999931335449,18.049999237060547,18.520000457763672,4819600.0,8.0236,0,True
2020-02-07,SPCE,0P0001BP51,18.459999084472656,19.25,18.280000686645508,18.93000030517578,7035900.0,8.0236,0,True
2020-02-10,SPCE,0P0001BP51,19.309999465942383,20.68000030517578,19.0,20.549999237060547,15272300.0,8.0236,0,True
2020-02-11,SPCE,0P0001BP51,21.6200008392334,22.280000686645508,20.75,21.940000534057617,16091900.0,8.0236,0,True
2020-02-12,SPCE,0P0001BP51,22.190000534057617,24.479999542236328,21.049999237060547,23.07999992370605,27809500.0,8.0236,0,True
2020-02-13,SPCE,0P0001BP51,22.75,24.690000534057617,22.725000381469727,23.65999984741211,21910300.0,8.0236,0,True
2020-02-14,SPCE,0P0001BP51,24.559999465942383,28.790000915527344,24.059999465942383,28.68000030517578,45609200.0,9.832,0,True
2020-02-18,SPCE,0P0001BP51,32.16999816894531,38.720001220703125,28.709999084472656,30.299999237060547,103715800.0,9.832,0,True
2020-02-19,SPCE,0P0001BP51,34.29999923706055,37.5,32.0,37.34999847412109,84891100.0,9.832,0,True
2020-02-20,SPCE,0P0001BP51,38.790000915527344,42.4900016784668,30.559999465942383,37.2599983215332,135902000.0,9.832,0,True
2020-02-21,SPCE,0P0001BP51,34.41999816894531,36.0,32.54999923706055,33.869998931884766,45220100.0,9.832,0,True
2020-02-24,SPCE,0P0001BP51,29.600000381469727,36.56999969482422,29.100000381469727,34.290000915527344,46110200.0,9.832,0,True
2020-02-25,SPCE,0P0001BP51,37.18000030517578,37.29999923706055,33.0,34.040000915527344,44092700.0,9.832,0,True
2020-02-26,SPCE,0P0001BP51,31.799999237060547,34.689998626708984,27.600000381469727,28.75,39902700.0,9.832,0,True
2020-02-27,SPCE,0P0001BP51,23.690000534057617,25.0,19.11000061035156,21.96999931335449,47987700.0,9.832,0,True
2020-02-28,SPCE,0P0001BP51,19.959999084472656,25.790000915527344,19.25,24.600000381469727,35452700.0,8.039,0,True
2020-03-02,SPCE,0P0001BP51,27.440000534057617,28.0,25.049999237060547,25.979999542236328,23598800.0,8.039,0,True
2020-03-03,SPCE,0P0001BP51,26.899999618530277,27.450000762939453,23.76000022888184,24.709999084472656,20098100.0,8.039,0,True
2020-03-04,SPCE,0P0001BP51,25.520000457763672,25.75,22.86000061035156,23.76000022888184,15466400.0,8.039,0,True
2020-03-05,SPCE,0P0001BP51,22.68000030517578,24.34000015258789,22.030000686645508,24.09000015258789,14124100.0,8.039,0,True
2020-03-06,SPCE,0P0001BP51,22.459999084472656,23.280000686645508,21.0,21.670000076293945,12867800.0,8.039,0,True
2020-03-09,SPCE,0P0001BP51,18.38999938964844,20.3700008392334,17.0,19.440000534057617,13307700.0,8.039,0,True
2020-03-10,SPCE,0P0001BP51,20.809999465942383,21.1200008392334,18.0,18.440000534057617,12406100.0,8.039,0,True
2020-03-11,SPCE,0P0001BP51,17.920000076293945,18.26000022888184,15.5,16.40999984741211,13701400.0,8.039,0,True
2020-03-12,SPCE,0P0001BP51,13.279999732971191,16.09000015258789,13.130000114440918,13.8100004196167,15286900.0,8.039,0,True
2020-03-13,SPCE,0P0001BP51,15.520000457763672,15.779999732971191,13.479999542236328,14.6899995803833,12044700.0,8.3674,0,True
2020-03-16,SPCE,0P0001BP51,12.1899995803833,13.600000381469728,11.720000267028809,11.90999984741211,10896300.0,8.3674,0,True
2020-03-17,SPCE,0P0001BP51,12.359999656677246,13.43000030517578,11.1899995803833,12.65999984741211,12118200.0,8.3674,0,True
2020-03-18,SPCE,0P0001BP51,11.529999732971191,11.770000457763672,9.0600004196167,10.5600004196167,14362400.0,8.3674,0,True
2020-03-19,SPCE,0P0001BP51,10.079999923706056,11.399999618530272,9.399999618530272,10.489999771118164,10850500.0,8.3674,0,True
2020-03-20,SPCE,0P0001BP51,11.460000038146973,14.739999771118164,10.986000061035156,11.229999542236328,21384300.0,8.3674,0,True
2020-03-23,SPCE,0P0001BP51,11.729999542236328,13.34000015258789,11.010000228881836,12.970000267028809,16785500.0,8.3674,0,True
2020-03-24,SPCE,0P0001BP51,15.59000015258789,17.440000534057617,14.630999565124512,16.31999969482422,31445700.0,8.3674,0,True
2020-03-25,SPCE,0P0001BP51,17.790000915527344,18.38999938964844,15.399999618530272,16.0,23013100.0,8.3674,0,True
2020-03-26,SPCE,0P0001BP51,16.440000534057617,18.18000030517578,15.729999542236328,17.059999465942383,17997300.0,8.3674,0,True
2020-03-27,SPCE,0P0001BP51,16.399999618530273,16.399999618530273,15.109999656677246,15.380000114440918,10919400.0,8.3674,0,True
2020-03-30,SPCE,0P0001BP51,15.40999984741211,15.75,14.420000076293944,14.760000228881836,9364800.0,8.3674,0,True
2020-03-31,SPCE,0P0001BP51,14.869999885559082,15.960000038146973,14.550000190734863,14.779999732971191,9288300.0,8.4352,0,True
2020-04-01,SPCE,0P0001BP51,13.920000076293944,14.43000030517578,12.880000114440918,13.300000190734863,9423700.0,8.4352,0,True
2020-04-02,SPCE,0P0001BP51,12.9399995803833,13.800000190734863,12.399999618530272,12.960000038146973,8597600.0,8.4352,0,True
2020-04-03,SPCE,0P0001BP51,12.970000267028809,13.5,12.100000381469728,12.1899995803833,7639000.0,8.4352,0,True
2020-04-06,SPCE,0P0001BP51,13.460000038146973,14.489999771118164,13.039999961853027,14.300000190734863,11532200.0,8.4352,0,True
2020-04-07,SPCE,0P0001BP51,15.729999542236328,16.06999969482422,13.81999969482422,14.06999969482422,13966000.0,8.4352,0,True
2020-04-08,SPCE,0P0001BP51,14.449999809265137,15.65999984741211,14.109999656677246,15.359999656677246,12291400.0,8.4352,0,True
2020-04-09,SPCE,0P0001BP51,16.0,16.399999618530273,14.920000076293944,15.270000457763672,10569100.0,8.4352,0,True
2020-04-13,SPCE,0P0001BP51,15.59000015258789,15.779999732971191,14.8100004196167,15.460000038146973,6593000.0,8.4352,0,True
2020-04-14,SPCE,0P0001BP51,16.030000686645508,20.290000915527344,15.960000038146973,19.030000686645508,38263600.0,8.4352,0,True
2020-04-15,SPCE,0P0001BP51,18.11000061035156,21.06999969482422,17.6200008392334,19.979999542236328,31677600.0,45.3619,0,True
2020-04-16,SPCE,0P0001BP51,20.36000061035156,20.799999237060547,17.711000442504883,18.299999237060547,20944000.0,45.3619,0,True
2020-04-17,SPCE,0P0001BP51,19.209999084472656,19.600000381469727,18.5,18.899999618530277,9028700.0,45.3619,0,True
2020-04-20,SPCE,0P0001BP51,18.270000457763672,19.850000381469727,17.90999984741211,19.0,11628300.0,45.3619,0,True
2020-04-21,SPCE,0P0001BP51,18.09000015258789,18.899999618530277,16.559999465942383,16.8700008392334,11508000.0,45.3619,0,True
2020-04-22,SPCE,0P0001BP51,17.709999084472656,17.790000915527344,16.809999465942383,17.270000457763672,8656200.0,45.3619,0,True
2020-04-23,SPCE,0P0001BP51,17.329999923706055,17.670000076293945,16.3799991607666,16.65999984741211,7805700.0,45.3619,0,True
2020-04-24,SPCE,0P0001BP51,16.670000076293945,17.22599983215332,16.0,17.020000457763672,7950900.0,45.3619,0,True
2020-04-27,SPCE,0P0001BP51,17.260000228881836,18.461000442504883,16.56999969482422,17.889999389648438,14106600.0,45.3619,0,True
2020-04-28,SPCE,0P0001BP51,18.40999984741211,18.82999992370605,17.329999923706055,17.559999465942383,10190900.0,45.3619,0,True
2020-04-29,SPCE,0P0001BP51,17.889999389648438,18.86000061035156,17.799999237060547,18.229999542236328,9394500.0,45.3619,0,True
2020-04-30,SPCE,0P0001BP51,18.0,18.170000076293945,17.219999313354492,17.6200008392334,6603400.0,49.0851,0,True
2020-05-01,SPCE,0P0001BP51,17.010000228881836,18.100000381469727,15.550000190734863,17.920000076293945,15421500.0,49.0851,0,True
2020-05-04,SPCE,0P0001BP51,16.959999084472656,17.479999542236328,15.899999618530272,16.68000030517578,6632500.0,49.0851,0,True
2020-05-05,SPCE,0P0001BP51,16.979999542236328,17.3700008392334,16.3700008392334,16.6200008392334,7678400.0,49.0851,0,True
2020-05-06,SPCE,0P0001BP51,17.75,18.950000762939453,16.700000762939453,18.5,23781300.0,49.0851,0,True
2020-05-07,SPCE,0P0001BP51,18.96999931335449,21.0,18.56999969482422,19.84000015258789,24927600.0,49.0851,0,True
2020-05-08,SPCE,0P0001BP51,20.420000076293945,21.530000686645508,18.799999237060547,20.18000030517578,23632000.0,49.0851,0,True
2020-05-11,SPCE,0P0001BP51,18.90999984741211,19.989999771118164,18.5,19.399999618530277,13092300.0,49.0851,0,True
2020-05-12,SPCE,0P0001BP51,19.440000534057617,19.88999938964844,17.549999237060547,17.600000381469727,12741600.0,49.0851,0,True
2020-05-13,SPCE,0P0001BP51,17.520000457763672,17.649999618530273,16.15999984741211,16.540000915527344,8986200.0,49.0851,0,True
2020-05-14,SPCE,0P0001BP51,16.25,16.309999465942383,15.050000190734863,15.880000114440918,9350500.0,49.0851,0,True
2020-05-15,SPCE,0P0001BP51,15.600000381469728,16.459999084472656,15.475000381469728,15.619999885559082,7992400.0,55.7925,0,True
